start,IATA,PNRs
2019-01-03,YYZ,2991
2019-01-03,CLE,1381
2019-01-03,CMH,1435
2019-01-03,PEK,1071
2019-01-03,SFO,3988
2019-01-03,AUS,2225
2019-01-03,SJC,3906
2019-01-03,DEN,2233
2019-01-03,DFW,6852
2019-01-03,MEX,1232
2019-01-03,MAD,739
2019-01-03,SHA,2508
2019-01-03,WAS,4744
2019-01-03,BOS,4469
2019-01-03,RDU,2187
2019-01-03,CPH,1310
2019-01-03,LAX,3069
2019-01-03,SNA,1838
2019-01-03,PIT,1610
2019-01-03,PHL,3621
2019-01-03,ATL,4885
2019-01-03,MIA,1288
2019-01-03,SEA,3406
2019-01-03,FRA,1121
2019-01-03,MSP,2343
2019-01-03,PDX,1605
2019-01-03,SAT,1553
2019-01-03,BNA,1640
2019-01-03,PAR,6940
2019-01-03,CLT,3062
2019-01-03,EWR,5463
2019-01-03,LON,7331
2019-01-03,NYC,8914
2019-01-03,STL,1462
2019-01-03,SAN,1538
2019-01-03,DTW,2589
2019-01-03,CHI,6418
2019-01-03,MUC,1657
2019-01-03,AMS,1389
2019-01-03,IND,1420
2019-01-03,YUL,999
2019-01-03,PHX,2859
2019-01-03,SYD,621
2019-01-03,MIL,1092
2019-01-03,HOU,3927
2019-01-03,STO,1087
2019-01-03,SIN,1236
2019-01-03,MCO,1727
2019-01-03,LAS,3775
2019-01-03,TLS,1217
2019-01-10,PAR,10895
2019-01-10,CPH,1610
2019-01-10,PEK,1480
2019-01-10,ATL,6460
2019-01-10,DEN,2739
2019-01-10,SIN,1939
2019-01-10,MUC,2326
2019-01-10,AUS,3144
2019-01-10,SAT,2117
2019-01-10,FRA,2396
2019-01-10,EWR,7192
2019-01-10,LAS,1516
2019-01-10,PHX,4187
2019-01-10,TLS,2143
2019-01-10,MAD,1379
2019-01-10,MSP,3029
2019-01-10,MEX,2119
2019-01-10,MIA,2442
2019-01-10,DTW,4303
2019-01-10,STO,1866
2019-01-10,RDU,2400
2019-01-10,PDX,2046
2019-01-10,CHI,8508
2019-01-10,STL,1905
2019-01-10,SYD,1232
2019-01-10,BNA,2204
2019-01-10,CLE,1559
2019-01-10,CLT,3809
2019-01-10,SFO,5746
2019-01-10,SJC,5224
2019-01-10,PIT,1818
2019-01-10,SAN,2075
2019-01-10,LON,9373
2019-01-10,HOU,5124
2019-01-10,SNA,2277
2019-01-10,YUL,1698
2019-01-10,YYZ,3728
2019-01-10,CMH,1772
2019-01-10,SHA,3896
2019-01-10,MIL,2056
2019-01-10,IND,1795
2019-01-10,MCO,2694
2019-01-10,AMS,2085
2019-01-10,LAX,4157
2019-01-10,BOS,6256
2019-01-10,NYC,15895
2019-01-10,PHL,4261
2019-01-10,WAS,6063
2019-01-10,DFW,8314
2019-01-10,SEA,4648
2019-01-17,YUL,1885
2019-01-17,CHI,8515
2019-01-17,RDU,2391
2019-01-17,AMS,2184
2019-01-17,IND,1826
2019-01-17,EWR,6746
2019-01-17,MSP,2891
2019-01-17,HOU,5351
2019-01-17,PDX,1952
2019-01-17,DFW,7935
2019-01-17,BNA,2132
2019-01-17,STL,1976
2019-01-17,PHL,4124
2019-01-17,SJC,4226
2019-01-17,LAX,3637
2019-01-17,MIA,1856
2019-01-17,MIL,1833
2019-01-17,CMH,1632
2019-01-17,DTW,3506
2019-01-17,PHX,4497
2019-01-17,SFO,4967
2019-01-17,SAN,2153
2019-01-17,AUS,2716
2019-01-17,MEX,2642
2019-01-17,SYD,1621
2019-01-17,CPH,1765
2019-01-17,MCO,2212
2019-01-17,ATL,6162
2019-01-17,SIN,2120
2019-01-17,CLT,3456
2019-01-17,FRA,2548
2019-01-17,MAD,1424
2019-01-17,LAS,1374
2019-01-17,STO,2091
2019-01-17,SEA,4407
2019-01-17,TLS,2060
2019-01-17,PEK,1579
2019-01-17,NYC,11324
2019-01-17,DEN,3076
2019-01-17,LON,9756
2019-01-17,PAR,11286
2019-01-17,MUC,3351
2019-01-17,CLE,1566
2019-01-17,SAT,2082
2019-01-17,YYZ,4204
2019-01-17,WAS,5270
2019-01-17,SHA,4035
2019-01-17,BOS,6100
2019-01-17,SNA,2018
2019-01-17,PIT,1835
2019-01-24,DEN,3257
2019-01-24,SNA,2289
2019-01-24,PAR,11962
2019-01-24,DFW,8368
2019-01-24,MEX,2380
2019-01-24,IND,2004
2019-01-24,LAS,1227
2019-01-24,FRA,2582
2019-01-24,RDU,2343
2019-01-24,SJC,4511
2019-01-24,LON,8970
2019-01-24,EWR,6777
2019-01-24,CMH,1745
2019-01-24,YYZ,4012
2019-01-24,CLT,3973
2019-01-24,STO,2178
2019-01-24,MUC,3258
2019-01-24,SIN,2125
2019-01-24,YUL,1713
2019-01-24,NYC,13357
2019-01-24,MCO,2161
2019-01-24,ATL,6559
2019-01-24,PHL,4550
2019-01-24,PEK,977
2019-01-24,AMS,2165
2019-01-24,PHX,4223
2019-01-24,PDX,1977
2019-01-24,PIT,1952
2019-01-24,SAT,2000
2019-01-24,STL,2081
2019-01-24,CPH,1928
2019-01-24,HOU,5139
2019-01-24,LAX,4344
2019-01-24,SYD,1538
2019-01-24,MIA,2462
2019-01-24,BNA,2089
2019-01-24,DTW,3681
2019-01-24,BOS,6073
2019-01-24,SEA,5259
2019-01-24,SAN,2506
2019-01-24,MSP,2937
2019-01-24,MIL,1880
2019-01-24,MAD,1716
2019-01-24,SHA,2224
2019-01-24,WAS,6285
2019-01-24,CLE,1680
2019-01-24,AUS,3056
2019-01-24,TLS,2199
2019-01-24,CHI,8948
2019-01-24,SFO,6025
2019-01-31,BNA,2310
2019-01-31,CPH,1795
2019-01-31,CHI,9163
2019-01-31,MIA,1863
2019-01-31,PHX,4258
2019-01-31,MUC,3149
2019-01-31,SFO,5900
2019-01-31,HOU,5159
2019-01-31,AUS,3023
2019-01-31,SYD,1977
2019-01-31,PEK,138
2019-01-31,DTW,3399
2019-01-31,MSP,2727
2019-01-31,CLT,3523
2019-01-31,YYZ,4087
2019-01-31,SNA,2411
2019-01-31,MAD,1697
2019-01-31,MIL,2018
2019-01-31,SAN,2051
2019-01-31,TLS,2197
2019-01-31,MEX,2008
2019-01-31,FRA,2592
2019-01-31,IND,1891
2019-01-31,PDX,2116
2019-01-31,SHA,266
2019-01-31,EWR,6296
2019-01-31,ATL,6571
2019-01-31,LAS,1494
2019-01-31,CMH,1706
2019-01-31,NYC,12978
2019-01-31,LON,9517
2019-01-31,CLE,1577
2019-01-31,PHL,4418
2019-01-31,PIT,1920
2019-01-31,SAT,2211
2019-01-31,YUL,2001
2019-01-31,WAS,6169
2019-01-31,DFW,8700
2019-01-31,STL,2185
2019-01-31,SEA,5358
2019-01-31,PAR,10803
2019-01-31,DEN,3110
2019-01-31,AMS,2423
2019-01-31,RDU,2486
2019-01-31,SIN,387
2019-01-31,BOS,6084
2019-01-31,SJC,4325
2019-01-31,STO,2229
2019-01-31,LAX,4032
2019-01-31,MCO,2335
2019-02-07,SIN,1834
2019-02-07,MAD,1659
2019-02-07,PEK,388
2019-02-07,MUC,3351
2019-02-07,AUS,2555
2019-02-07,IND,2120
2019-02-07,SYD,2532
2019-02-07,AMS,2506
2019-02-07,TLS,1745
2019-02-07,SHA,924
2019-02-07,DTW,3381
2019-02-07,YUL,1749
2019-02-07,LAX,4001
2019-02-07,BOS,5875
2019-02-07,LON,10155
2019-02-07,SNA,2085
2019-02-07,PHX,3688
2019-02-07,PAR,9182
2019-02-07,ATL,6043
2019-02-07,MIA,2376
2019-02-07,FRA,2714
2019-02-07,STL,2075
2019-02-07,MIL,1946
2019-02-07,SFO,11105
2019-02-07,YYZ,4200
2019-02-07,SEA,5086
2019-02-07,PHL,4467
2019-02-07,BNA,2100
2019-02-07,CLE,1572
2019-02-07,MEX,2453
2019-02-07,SAT,2291
2019-02-07,CLT,3600
2019-02-07,NYC,12437
2019-02-07,MCO,3544
2019-02-07,LAS,1532
2019-02-07,DFW,8129
2019-02-07,STO,1951
2019-02-07,SJC,5743
2019-02-07,RDU,2511
2019-02-07,CHI,8590
2019-02-07,CMH,1884
2019-02-07,DEN,3352
2019-02-07,MSP,2977
2019-02-07,PDX,2138
2019-02-07,SAN,2608
2019-02-07,PIT,1826
2019-02-07,CPH,1087
2019-02-07,WAS,5917
2019-02-07,EWR,6680
2019-02-07,HOU,5236
2019-02-14,SYD,2494
2019-02-14,SEA,3835
2019-02-14,SHA,2828
2019-02-14,MCO,2340
2019-02-14,MSP,3095
2019-02-14,MUC,3397
2019-02-14,HOU,5144
2019-02-14,STO,1703
2019-02-14,BNA,2327
2019-02-14,SAN,2083
2019-02-14,MEX,2696
2019-02-14,SIN,2339
2019-02-14,NYC,9686
2019-02-14,LAS,1627
2019-02-14,LON,8366
2019-02-14,PEK,1249
2019-02-14,STL,2034
2019-02-14,YYZ,3363
2019-02-14,DFW,7860
2019-02-14,DTW,3420
2019-02-14,CPH,1562
2019-02-14,PAR,8306
2019-02-14,PHL,4150
2019-02-14,MAD,1575
2019-02-14,PHX,3930
2019-02-14,RDU,2557
2019-02-14,PDX,1962
2019-02-14,PIT,1933
2019-02-14,DEN,3087
2019-02-14,MIL,2182
2019-02-14,IND,2002
2019-02-14,AMS,2225
2019-02-14,TLS,1993
2019-02-14,CLE,1687
2019-02-14,CLT,3845
2019-02-14,WAS,5435
2019-02-14,EWR,5933
2019-02-14,ATL,6180
2019-02-14,YUL,1678
2019-02-14,MIA,2304
2019-02-14,SFO,4987
2019-02-14,SAT,2416
2019-02-14,CMH,1780
2019-02-14,FRA,2588
2019-02-14,LAX,3634
2019-02-14,BOS,4348
2019-02-14,AUS,2945
2019-02-14,SJC,4379
2019-02-14,CHI,8541
2019-02-14,SNA,2043
2019-02-21,CLE,1803
2019-02-21,PDX,2477
2019-02-21,EWR,6483
2019-02-21,DFW,8818
2019-02-21,SAN,2461
2019-02-21,MEX,2781
2019-02-21,LAS,2738
2019-02-21,SHA,3854
2019-02-21,TLS,1382
2019-02-21,PEK,1518
2019-02-21,MIA,2341
2019-02-21,SNA,2418
2019-02-21,LON,11597
2019-02-21,ATL,6725
2019-02-21,HOU,5800
2019-02-21,RDU,2561
2019-02-21,SIN,2629
2019-02-21,SEA,5300
2019-02-21,MUC,3482
2019-02-21,CLT,4273
2019-02-21,CHI,9377
2019-02-21,MIL,2140
2019-02-21,DEN,3451
2019-02-21,DTW,3299
2019-02-21,PHX,4769
2019-02-21,AUS,3223
2019-02-21,SYD,2457
2019-02-21,MCO,2128
2019-02-21,WAS,6918
2019-02-21,PHL,4757
2019-02-21,FRA,2784
2019-02-21,YYZ,4874
2019-02-21,SJC,5282
2019-02-21,MAD,1715
2019-02-21,YUL,2009
2019-02-21,CMH,1852
2019-02-21,PAR,7159
2019-02-21,SFO,6864
2019-02-21,BNA,2569
2019-02-21,SAT,2438
2019-02-21,STO,1240
2019-02-21,LAX,4472
2019-02-21,PIT,1984
2019-02-21,IND,2049
2019-02-21,STL,2308
2019-02-21,CPH,1744
2019-02-21,NYC,13043
2019-02-21,MSP,3269
2019-02-21,AMS,2262
2019-02-21,BOS,6803
2019-02-28,PHX,4028
2019-02-28,WAS,6641
2019-02-28,MCO,2090
2019-02-28,SAT,2646
2019-02-28,BNA,2413
2019-02-28,HOU,5573
2019-02-28,CHI,9270
2019-02-28,CLE,1586
2019-02-28,CMH,1815
2019-02-28,ATL,6337
2019-02-28,SIN,2225
2019-02-28,DTW,3343
2019-02-28,SFO,6244
2019-02-28,PAR,6831
2019-02-28,SEA,4869
2019-02-28,DFW,8928
2019-02-28,MSP,3207
2019-02-28,PDX,2442
2019-02-28,YYZ,3959
2019-02-28,MIL,2083
2019-02-28,DEN,3234
2019-02-28,CPH,1897
2019-02-28,MIA,2052
2019-02-28,TLS,1201
2019-02-28,LAS,1837
2019-02-28,CLT,3810
2019-02-28,MUC,2409
2019-02-28,LAX,4339
2019-02-28,STL,2187
2019-02-28,IND,2167
2019-02-28,FRA,2504
2019-02-28,NYC,13131
2019-02-28,MEX,2374
2019-02-28,PEK,1446
2019-02-28,STO,2116
2019-02-28,LON,11282
2019-02-28,PHL,4476
2019-02-28,EWR,6172
2019-02-28,SHA,3555
2019-02-28,SNA,2553
2019-02-28,YUL,1209
2019-02-28,SYD,2743
2019-02-28,PIT,1863
2019-02-28,AUS,3512
2019-02-28,AMS,2481
2019-02-28,RDU,2317
2019-02-28,SJC,4940
2019-02-28,MAD,1588
2019-02-28,SAN,2566
2019-02-28,BOS,6674
2019-03-07,EWR,6245
2019-03-07,YUL,1643
2019-03-07,ATL,6551
2019-03-07,PIT,2027
2019-03-07,NYC,13521
2019-03-07,TLS,2018
2019-03-07,CLE,1665
2019-03-07,SJC,5529
2019-03-07,AMS,2733
2019-03-07,LAX,3963
2019-03-07,CMH,2051
2019-03-07,SNA,2614
2019-03-07,WAS,6735
2019-03-07,BNA,2426
2019-03-07,LAS,1643
2019-03-07,RDU,2453
2019-03-07,LON,11848
2019-03-07,PHL,4501
2019-03-07,DEN,3576
2019-03-07,MSP,3170
2019-03-07,MCO,2082
2019-03-07,PEK,1406
2019-03-07,SEA,4819
2019-03-07,CHI,9146
2019-03-07,CPH,1924
2019-03-07,PAR,11698
2019-03-07,DTW,3365
2019-03-07,BOS,6041
2019-03-07,HOU,4625
2019-03-07,SYD,2172
2019-03-07,PDX,2419
2019-03-07,FRA,2200
2019-03-07,DFW,6712
2019-03-07,YYZ,3084
2019-03-07,SIN,2370
2019-03-07,STO,2247
2019-03-07,SFO,5707
2019-03-07,STL,2352
2019-03-07,MIL,2259
2019-03-07,SAN,2454
2019-03-07,CLT,4066
2019-03-07,MIA,2138
2019-03-07,IND,2047
2019-03-07,PHX,4296
2019-03-07,SHA,3720
2019-03-07,MAD,1913
2019-03-07,AUS,3173
2019-03-07,MUC,3281
2019-03-07,SAT,1867
2019-03-07,MEX,2719
2019-03-14,PDX,2466
2019-03-14,CLT,3800
2019-03-14,MAD,1909
2019-03-14,FRA,3135
2019-03-14,PEK,1454
2019-03-14,SFO,5352
2019-03-14,CLE,1744
2019-03-14,MIL,2075
2019-03-14,STO,2287
2019-03-14,AMS,2802
2019-03-14,CHI,9401
2019-03-14,DTW,3646
2019-03-14,MCO,3166
2019-03-14,BNA,2309
2019-03-14,YYZ,3833
2019-03-14,AUS,2396
2019-03-14,CPH,1857
2019-03-14,HOU,5107
2019-03-14,STL,1954
2019-03-14,EWR,6096
2019-03-14,IND,2123
2019-03-14,DEN,3067
2019-03-14,SIN,1984
2019-03-14,MUC,3334
2019-03-14,ATL,6313
2019-03-14,DFW,7832
2019-03-14,SJC,4870
2019-03-14,MSP,2895
2019-03-14,SYD,2549
2019-03-14,NYC,12575
2019-03-14,WAS,6752
2019-03-14,BOS,5890
2019-03-14,MEX,2121
2019-03-14,RDU,2480
2019-03-14,LAX,3825
2019-03-14,SAT,2600
2019-03-14,MIA,2054
2019-03-14,PHL,4560
2019-03-14,LON,12011
2019-03-14,PIT,2019
2019-03-14,SEA,4631
2019-03-14,SAN,2391
2019-03-14,TLS,2479
2019-03-14,SHA,3572
2019-03-14,PHX,3830
2019-03-14,SNA,2165
2019-03-14,CMH,1885
2019-03-14,YUL,1944
2019-03-14,PAR,11477
2019-03-14,LAS,1753
2019-03-21,FRA,3142
2019-03-21,CPH,1886
2019-03-21,MIA,1911
2019-03-21,SJC,4813
2019-03-21,MEX,2410
2019-03-21,SNA,2065
2019-03-21,PAR,11164
2019-03-21,STL,2121
2019-03-21,LAS,2793
2019-03-21,MIL,2341
2019-03-21,DTW,3535
2019-03-21,CLT,3920
2019-03-21,PIT,1891
2019-03-21,MAD,1863
2019-03-21,AMS,2802
2019-03-21,SAN,2572
2019-03-21,CLE,1561
2019-03-21,LON,11400
2019-03-21,DEN,2732
2019-03-21,PDX,1806
2019-03-21,DFW,8608
2019-03-21,PHX,3668
2019-03-21,SAT,2826
2019-03-21,NYC,11908
2019-03-21,CMH,1550
2019-03-21,BOS,5926
2019-03-21,STO,2226
2019-03-21,MSP,2852
2019-03-21,SIN,2224
2019-03-21,MUC,3464
2019-03-21,AUS,3587
2019-03-21,WAS,5972
2019-03-21,SYD,2419
2019-03-21,MCO,2010
2019-03-21,RDU,2597
2019-03-21,PEK,1552
2019-03-21,YYZ,4279
2019-03-21,IND,1760
2019-03-21,LAX,3901
2019-03-21,SHA,3370
2019-03-21,SFO,5300
2019-03-21,EWR,6068
2019-03-21,BNA,2375
2019-03-21,ATL,6398
2019-03-21,CHI,7327
2019-03-21,TLS,2445
2019-03-21,YUL,2001
2019-03-21,PHL,4520
2019-03-21,SEA,4659
2019-03-21,HOU,5152
2019-03-28,CPH,1950
2019-03-28,CMH,1642
2019-03-28,SIN,2067
2019-03-28,LAS,1410
2019-03-28,YUL,1831
2019-03-28,TLS,1950
2019-03-28,RDU,2435
2019-03-28,SHA,2957
2019-03-28,AMS,2452
2019-03-28,PAR,11215
2019-03-28,SAT,2307
2019-03-28,LON,10696
2019-03-28,WAS,6710
2019-03-28,CLE,1844
2019-03-28,YYZ,4000
2019-03-28,IND,1597
2019-03-28,SNA,1808
2019-03-28,CLT,3404
2019-03-28,BOS,7348
2019-03-28,MIA,1883
2019-03-28,MSP,3068
2019-03-28,DEN,3040
2019-03-28,STL,2129
2019-03-28,SJC,4232
2019-03-28,MCO,1982
2019-03-28,ATL,4909
2019-03-28,MUC,3315
2019-03-28,FRA,2584
2019-03-28,SYD,2120
2019-03-28,AUS,3369
2019-03-28,SEA,4108
2019-03-28,STO,2126
2019-03-28,EWR,5455
2019-03-28,HOU,4945
2019-03-28,SFO,4911
2019-03-28,PEK,1407
2019-03-28,BNA,2267
2019-03-28,PHX,3531
2019-03-28,CHI,8803
2019-03-28,MIL,2086
2019-03-28,DTW,2965
2019-03-28,PIT,1834
2019-03-28,LAX,3637
2019-03-28,MAD,1801
2019-03-28,SAN,2009
2019-03-28,MEX,2342
2019-03-28,NYC,12667
2019-03-28,DFW,7754
2019-03-28,PDX,1916
2019-03-28,PHL,4108
2019-04-04,LAS,2590
2019-04-04,MCO,1944
2019-04-04,SAN,2253
2019-04-04,STO,2472
2019-04-04,DEN,3657
2019-04-04,SJC,4493
2019-04-04,MSP,3587
2019-04-04,MEX,2883
2019-04-04,ATL,6598
2019-04-04,FRA,3184
2019-04-04,CPH,2114
2019-04-04,IND,1962
2019-04-04,CHI,10776
2019-04-04,SAT,2454
2019-04-04,PAR,10033
2019-04-04,SNA,2209
2019-04-04,DFW,8023
2019-04-04,LON,10361
2019-04-04,SYD,2305
2019-04-04,SHA,3290
2019-04-04,YUL,1953
2019-04-04,LAX,4020
2019-04-04,SIN,2137
2019-04-04,WAS,6854
2019-04-04,PHX,3956
2019-04-04,MIA,1935
2019-04-04,EWR,6432
2019-04-04,CMH,1888
2019-04-04,AMS,2791
2019-04-04,PDX,2539
2019-04-04,BNA,2338
2019-04-04,PHL,4409
2019-04-04,MIL,1505
2019-04-04,CLT,4231
2019-04-04,BOS,6912
2019-04-04,CLE,1745
2019-04-04,DTW,3689
2019-04-04,NYC,13579
2019-04-04,STL,2368
2019-04-04,MUC,1753
2019-04-04,RDU,2784
2019-04-04,MAD,2384
2019-04-04,AUS,3458
2019-04-04,SFO,5260
2019-04-04,PEK,1298
2019-04-04,PIT,1894
2019-04-04,HOU,4920
2019-04-04,YYZ,4748
2019-04-04,TLS,2039
2019-04-04,SEA,3806
2019-04-11,DEN,3189
2019-04-11,SNA,1899
2019-04-11,WAS,5872
2019-04-11,BOS,5448
2019-04-11,MEX,1061
2019-04-11,YUL,1700
2019-04-11,STO,1199
2019-04-11,PAR,9026
2019-04-11,PEK,1309
2019-04-11,TLS,1881
2019-04-11,PHL,4112
2019-04-11,DTW,3677
2019-04-11,CLT,3538
2019-04-11,SJC,3868
2019-04-11,SAN,2155
2019-04-11,LAS,1305
2019-04-11,PHX,3606
2019-04-11,MAD,494
2019-04-11,PDX,2338
2019-04-11,HOU,4900
2019-04-11,NYC,12160
2019-04-11,CLE,1679
2019-04-11,MUC,2303
2019-04-11,STL,2207
2019-04-11,MIA,1720
2019-04-11,AMS,2336
2019-04-11,EWR,5558
2019-04-11,BNA,2848
2019-04-11,MIL,2203
2019-04-11,CMH,1867
2019-04-11,SYD,1706
2019-04-11,SIN,1759
2019-04-11,SHA,3872
2019-04-11,SFO,4768
2019-04-11,FRA,2097
2019-04-11,IND,2022
2019-04-11,LON,7620
2019-04-11,PIT,1932
2019-04-11,MCO,2041
2019-04-11,AUS,2963
2019-04-11,CHI,9379
2019-04-11,ATL,6933
2019-04-11,RDU,2137
2019-04-11,MSP,3439
2019-04-11,SEA,4259
2019-04-11,YYZ,4115
2019-04-11,SAT,2478
2019-04-11,CPH,738
2019-04-11,DFW,7699
2019-04-11,LAX,3767
2019-04-18,PHX,3331
2019-04-18,AMS,1451
2019-04-18,NYC,10343
2019-04-18,MAD,1134
2019-04-18,CPH,1293
2019-04-18,ATL,5814
2019-04-18,MIA,1628
2019-04-18,EWR,5382
2019-04-18,DFW,7316
2019-04-18,PDX,2222
2019-04-18,FRA,1315
2019-04-18,MCO,1827
2019-04-18,IND,1985
2019-04-18,STO,1550
2019-04-18,PIT,1780
2019-04-18,CMH,1784
2019-04-18,DTW,2936
2019-04-18,LAX,3713
2019-04-18,MUC,1395
2019-04-18,DEN,2928
2019-04-18,SJC,4371
2019-04-18,SYD,289
2019-04-18,SNA,1924
2019-04-18,SAN,1906
2019-04-18,LON,6459
2019-04-18,LAS,1168
2019-04-18,SAT,2421
2019-04-18,SEA,4617
2019-04-18,MIL,378
2019-04-18,WAS,5831
2019-04-18,PEK,1309
2019-04-18,BOS,6062
2019-04-18,AUS,2948
2019-04-18,HOU,4745
2019-04-18,MSP,3133
2019-04-18,PAR,5569
2019-04-18,CLE,1598
2019-04-18,RDU,2323
2019-04-18,BNA,2785
2019-04-18,TLS,1173
2019-04-18,STL,2217
2019-04-18,SIN,1412
2019-04-18,PHL,4079
2019-04-18,MEX,1826
2019-04-18,YYZ,3330
2019-04-18,SHA,3489
2019-04-18,CLT,3512
2019-04-18,SFO,5584
2019-04-18,YUL,1389
2019-04-18,CHI,8696
2019-04-25,CLE,1932
2019-04-25,SYD,2263
2019-04-25,LAX,3863
2019-04-25,MAD,690
2019-04-25,ATL,6488
2019-04-25,MIL,651
2019-04-25,SFO,5379
2019-04-25,SIN,1222
2019-04-25,PIT,1813
2019-04-25,STL,2062
2019-04-25,BNA,2367
2019-04-25,MSP,3130
2019-04-25,CMH,1625
2019-04-25,LAS,2988
2019-04-25,MEX,1597
2019-04-25,PAR,3208
2019-04-25,CPH,1700
2019-04-25,SHA,1454
2019-04-25,MIA,1899
2019-04-25,LON,9985
2019-04-25,NYC,13326
2019-04-25,FRA,1405
2019-04-25,PHX,3451
2019-04-25,CHI,9332
2019-04-25,SEA,4880
2019-04-25,AUS,2799
2019-04-25,STO,1076
2019-04-25,HOU,4524
2019-04-25,RDU,2537
2019-04-25,YYZ,3749
2019-04-25,SNA,1840
2019-04-25,TLS,546
2019-04-25,EWR,6056
2019-04-25,CLT,3776
2019-04-25,SAN,2063
2019-04-25,MUC,1555
2019-04-25,IND,1994
2019-04-25,AMS,1536
2019-04-25,SJC,4327
2019-04-25,PDX,1957
2019-04-25,PEK,634
2019-04-25,DTW,3435
2019-04-25,SAT,2190
2019-04-25,WAS,6734
2019-04-25,YUL,1827
2019-04-25,MCO,1929
2019-04-25,DEN,3357
2019-04-25,DFW,8275
2019-04-25,PHL,4339
2019-04-25,BOS,6769
2019-05-02,PIT,2064
2019-05-02,MAD,1821
2019-05-02,BNA,2423
2019-05-02,DFW,8225
2019-05-02,MCO,3958
2019-05-02,WAS,6658
2019-05-02,LAX,3739
2019-05-02,LAS,2076
2019-05-02,CMH,1744
2019-05-02,AUS,3182
2019-05-02,STL,2301
2019-05-02,PAR,3847
2019-05-02,PHX,3528
2019-05-02,TLS,660
2019-05-02,LON,9970
2019-05-02,MSP,3183
2019-05-02,PHL,4444
2019-05-02,RDU,2578
2019-05-02,SNA,2157
2019-05-02,STO,2283
2019-05-02,NYC,13978
2019-05-02,PEK,1337
2019-05-02,AMS,2353
2019-05-02,DTW,3378
2019-05-02,YYZ,4188
2019-05-02,PDX,2208
2019-05-02,CLE,2459
2019-05-02,DEN,3855
2019-05-02,SEA,5076
2019-05-02,MEX,3269
